nr,project,fullyQualifiedClassName,methodCount,fieldCount,dependencyTypeCount,k1_reviewer2,k2_reviewer2,k3_reviewer2,k4_reviewer2,comment_reviewer2,finalLabel_reviewer2
11,commons-lang,org.apache.commons.lang3.concurrent.BasicThreadFactory,0,0,0,false,false,false,false,"BasicThreadFactory: Metriken=0, kleine Klasse mit Builder-Pattern. Klare Verantwortlichkeit: ThreadFactory-Konfiguration.",NO
12,joda-time,org.joda.time.format.PeriodFormatterBuilder,285,376,127,true,true,true,true,"PeriodFormatterBuilder: Sehr groß (285 Methoden, 376 Felder, 127 deps). Builder-Klasse mit vielen Inner Classes für verschiedene Formatter/Affix-Typen. Mehrere Verantwortlichkeiten: Builder-Logik, Composite-Pattern, Affix-Verarbeitung, Separator-Logik. Inner Classes könnten als eigenständige Klassen extrahiert werden. Klare God Class.",GOD_CLASS
13,jfreechart,org.jfree.chart.swing.editor.DefaultValueAxisEditor,35,32,59,false,false,true,false,"DefaultValueAxisEditor: Klein (35 Methoden). Swing-Editor für Value-Achsen, erweitert DefaultAxisEditor. Kopplung durch Swing-Dependencies, aber fokussiert.",NO
14,jfreechart,org.jfree.chart.swing.editor.DefaultAxisEditor,27,30,64,false,false,true,false,"DefaultAxisEditor: Klein (27 Methoden). Typische Swing-Property-Editor-Klasse. Kopplung durch Swing/GUI-Framework, inhaltlich fokussiert.",NO
15,jfreechart,org.jfree.chart.swing.ChartPanel,264,383,267,true,true,true,true,"ChartPanel: Sehr groß (264 Methoden, 383 Felder, 267 deps). Vereint Mouse-Event-Handling, Zoom-Logik, Print/Export, Popup-Menü-Erstellung, Chart-Rendering-Koordination, Tooltip-Verwaltung und Overlay-Management. Klare Aufteilung in ChartMouseHandler + ChartZoomController + ChartExportService + ChartPopupMenuBuilder möglich. Eindeutige God Class.",GOD_CLASS
16,jfreechart,org.jfree.chart.axis.CategoryAxis,112,196,88,true,true,true,true,"CategoryAxis: Groß (112 Methoden, 196 Felder, 88 deps). Vereint Tick-Berechnung/Layout, Label-Rendering, Margin-Verwaltung und Achsen-Zeichenlogik. Aufteilung in CategoryAxisLayout + CategoryAxisRenderer möglich. God Class.",GOD_CLASS
17,joda-time,org.joda.time.PeriodType,88,135,61,false,false,false,false,PeriodType: Type-Safe-Enum/Registry-Pattern. Viele Felder sind statische Konstanten und Factory-Methoden. Alle Methoden dienen dem gleichen Konzept (PeriodType-Definition und -Lookup). Kein God-Class-Muster.,NO
18,jfreechart,org.jfree.chart.renderer.xy.XYErrorRenderer,36,50,36,false,false,false,false,XYErrorRenderer: Klein (36 Methoden). Spezialisierter Renderer für Fehlerbalken. Fokussiert und kohärent.,NO
19,jfreechart,org.jfree.chart.plot.compass.MeterNeedle,0,0,0,false,false,false,false,"MeterNeedle: Metriken=0, abstrakte Basisklasse für Kompass-Nadeln. Klein und fokussiert.",NO
20,joda-time,org.joda.time.convert.ConverterSet,0,0,0,false,false,false,false,"ConverterSet: Metriken=0, spezialisierte immutable Collection für Converter-Objekte. Package-private, klar fokussiert.",NO
21,jfreechart,org.jfree.chart.renderer.xy.XYBarRenderer,101,179,108,true,true,true,true,"XYBarRenderer: Groß (101 Methoden, 179 Felder, 108 deps). Vereint Balken-Rendering, Schatten-Zeichnung, Legenden-Erstellung und umfangreiche Konfiguration. Viele verschiedene Verantwortlichkeiten in einer Klasse. Aufteilung in XYBarPainter + XYBarConfiguration + XYBarLegendProvider denkbar. God Class.",GOD_CLASS
22,commons-lang,org.apache.commons.lang3.concurrent.MultiBackgroundInitializer.MultiBackgroundInitializerResults,0,0,0,false,false,false,false,"MultiBackgroundInitializerResults: Metriken=0, innere Klasse. Reiner Datencontainer für Initialisierungsergebnisse (Maps). DTO-Muster.",NO
23,jfreechart,org.jfree.chart.renderer.category.ScatterRenderer,51,58,49,false,false,false,false,ScatterRenderer: Moderate Größe (51 Methoden). Spezialisierter Renderer für Scatter-Plots in Kategorie-Diagrammen. Fokussiert.,NO
24,commons-lang,org.apache.commons.lang3.arch.Processor,16,9,33,false,false,false,false,"Processor: Klein (16 Methoden, 9 Felder). Einfacher Datencontainer für Prozessor-Architektur-Informationen mit is*()-Prüfmethoden. Hohe Kohäsion.",NO
25,commons-lang,org.apache.commons.lang3.text.StrSubstitutor,0,0,0,false,false,false,false,"StrSubstitutor: Metriken=0, aber bekannt als moderate Klasse mit klarer Verantwortlichkeit (Variable Substitution in Strings). Kohärente API. Deprecated. Kein God-Class-Muster.",NO
